Metric_ID,Metric_Name,Phase,Year_Range,Value,Unit,Confidence,Primary_Source,Secondary_Source,Methodology_Notes
GOV-007,Taxation Collection Efficiency,Rise,1299-1520,~80-90%,% of assessed tax collected,MODERATE,"Inalcik, An Economic and Social History of the Ottoman Empire (1994); Pamuk, Evolution of Fiscal Institutions in the Ottoman Empire (2004)","Cosgel, The Economics of Ottoman Taxation (2004, UConn WP)","Timar system minimized intermediaries; sipahis collected directly from reaya. No direct percentage available for this phase — estimate inferred from institutional design: low administrative overhead, direct collection, revocable non-hereditary grants. Census/cadastral records kept accurate. High efficiency relative to later periods."
GOV-007,Taxation Collection Efficiency,Peak,1520-1683,46%,% of assessed tax reaching central treasury (1527/28),HIGH,"Karaman & Pamuk, Ottoman State Finances in European Perspective 1500-1914, JEH 70(3) 2010 pp.593-629; Barkan, H.933-934 Mali Yilina Ait Bir Butce Ornegi, IFM 14 (1953-54) pp.251-329","Darling, Revenue-Raising and Legitimacy: Tax Collection in the Ottoman Empire 1560-1660 (Brill, 1996)","46% = central treasury share of total tax burden on taxpayers in 1527/28. Remaining 54% retained by timar-holders and intermediaries. This is not inefficiency per se but fiscal design — timar revenues supported provincial military. Transition to iltizam began under Mehmed II. By late 16th c. pressures mounting from price revolution and expanding warfare costs."
GOV-007,Taxation Collection Efficiency,Decline,1683-1922,25%,% of assessed tax reaching central treasury (1661/62),HIGH,"Karaman & Pamuk, Ottoman State Finances in European Perspective 1500-1914, JEH 70(3) 2010 pp.593-629","Salzmann, An Ancien Regime Revisited: Privatization and Political Economy in the 18th-Century Ottoman Empire, Politics & Society 21(4) 1993 pp.393-423","25% = central treasury share of total taxpayer burden in 1661/62. Two-thirds of net tax revenue distributed to provincial collectors, money changers, and bureaucrats (18th c.). Malikane holders stopped remitting revenues. Only 1 of 7 budgets 1660-1701 had surplus. Decline might be more dramatic than figures suggest due to unrecorded illegal exactions by provincial notables."
GOV-007,Taxation Collection Efficiency,Decline (late),1840-1870,~35-40%,% (recovering via Tanzimat reforms),MODERATE,"Pamuk, Fiscal Centralisation and the Rise of the Modern State in the Ottoman Empire, 2014","Karaman & Pamuk (2010)","Tanzimat reforms (post-1839) aimed to recentralize tax collection, abolish tax farming. Some recovery in fiscal centralization during 19th century, but still lagged European states."
GOV-008,Corruption / Institutional Decay,Rise,1299-1520,1.5,Scale 1-5 (1=low corruption),MODERATE,"Inalcik, The Ottoman Empire: The Classical Age 1300-1600 (1973); Turchin & Nefedov, Secular Cycles (Princeton, 2009)","Barkey, Bandits and Bureaucrats: The Ottoman Route to State Centralization (1994)","Devshirme system recruited non-native elites, reducing hereditary entrenchment. Fratricide succession practice limited elite overproduction (Turchin). Merit-based promotion predominant. Timar grants revocable and non-hereditary. Rotation of provincial officials enforced. Kadi system provided judicial oversight. Low corruption by pre-modern standards."
GOV-008,Corruption / Institutional Decay,Peak,1520-1683,2.5,Scale 1-5,MODERATE,"Inalcik, Military and Fiscal Transformation in the Ottoman Empire 1600-1700, Archivum Ottomanicum 6 (1980); Goldstone, Revolution and Rebellion in the Early Modern World (1991)","White, The Climate of Rebellion in the Early Modern Ottoman Empire (Cambridge, 2011)","Post-1580 deterioration: currency depreciation, Celali rebellions (1590-1610), Janissary indiscipline. Sale of offices began. After 1584 Janissaries seized peasant lands. Bribery replacing merit in appointments noted by contemporaries. Fixed-income groups resorted to extortion amid inflation. Still, central institutions functional through most of period. Score reflects worsening trajectory especially post-1600."
GOV-008,Corruption / Institutional Decay,Decline,1683-1922,4.0,Scale 1-5,HIGH,"Salzmann (1993); Barkey, Empire of Difference (2008); Turchin & Nefedov, Secular Cycles (2009)","Goldstone (1991); Quataert, The Ottoman Empire 1700-1922 (2005)","Malikane system (1695) created hereditary tax farms. Provincial ayan usurped administrative and military posts through purchase or membership. Five sultans deposed by ~1710. Venality institutionalized — offices auctioned to highest bidder. Officials viewed positions as investments requiring return. Rotation system collapsed. Anti-corruption mechanisms (separation of powers, rotation, compensation) all undermined by 18th c. inflation and decentralization."
MIL-003,Defence Spending (% of revenue),Rise,1299-1520,~50-60%,% of total state revenue,MODERATE,"Inalcik, An Economic and Social History of the Ottoman Empire (1994); Agoston, Guns for the Sultan (Cambridge, 2005)","Murphey, Ottoman Warfare 1500-1700 (UCL Press/Routledge, 1999)","No precise budget data survives for pre-1500 period. Estimate based on: timar system was fundamentally a military-fiscal institution — virtually all provincial revenue supported cavalry. State was organized for conquest. Military function dominated all expenditure. The 1495-96 budget (oldest known) shows military dominance. Estimate is extrapolation."
MIL-003,Defence Spending (% of revenue),Peak (1527),1527-1528,~52-61%,% of total central budget,MODERATE,"Barkan, H.933-934 Mali Yilina Ait Bir Butce Ornegi, IFM 14 (1953-54) pp.251-329; Murphey, Ottoman Warfare 1500-1700 Ch.3","Agoston, Az europai hadugy forradalom es az oszmanok, Tortenelmi Szemle 37 (1995) pp.478-9","Janissary wages = 23.4% of all salary payments in 1527. Total military expenditure (all kapikulu, provincial cavalry support, naval, ordnance) was majority of budget. Murphey Ch.3 provides detailed assessment. Salaried military personnel grew from 41,000 to 91,000 during 16th century."
MIL-003,Defence Spending (% of revenue),Peak (1630),1630,77%,% of total central budget,HIGH,"Agoston, Ottoman Warfare in Europe 1453-1826 in European Warfare 1453-1815 (Springer); data from Barkan budgets","Murphey (1999); Karaman & Pamuk (2010)","Military wages formed 77% of Ottoman budget in 1630. This was during wartime conditions. Figure from Ottoman budgets published by Barkan and summarized by Agoston."
MIL-003,Defence Spending (% of revenue),Decline (1670),1670,62.5%,% of total central budget,HIGH,"Agoston (1995); Barkan budget data for 1669-70","Murphey (1999)","Military wages = 62.5% of budget in 1670. Janissary share of total expenditure rose from 10.26% (1527/28) to 21.01% by this period while individual Janissary earnings fell (34.38 to 11.05 gold pieces 1582-1669 per Barkan)."
MIL-003,Defence Spending (% of revenue),Decline (1784-85),1784-1785,~75%,% of total state expenditure (53.5% kapikulu alone),HIGH,"METU thesis: Ottoman Army in the 18th Century; budget figures from 1784-85","Karaman & Pamuk (2010)","Military expenditures = three-quarters of all state expenditures in 1784/85. Kapikulu expenditures alone = 53.5% (1784) and 51.5% (1785) of total state expenditures. Wartime conditions amplified spending."
GOV-003,Bureaucratic Levels (Classical),Rise,1299-1520,4,Count of administrative levels,HIGH,"Inalcik, The Ottoman Empire: The Classical Age 1300-1600 (1973)","Wikipedia: Administrative Divisions of the Ottoman Empire","Hierarchy: (1) Sultan/Imperial Divan → (2) Beylerbey/Eyalet → (3) Sanjak/Sanjak-bey → (4) Kaza/Kadi. Four clear administrative tiers. Simpler structure in early period before Murad I added beylerbey level for Rumelia."
GOV-003,Bureaucratic Levels (Classical),Peak,1520-1683,4-5,Count of administrative levels,HIGH,"Inalcik, An Economic and Social History of the Ottoman Empire (1994)","Darling (1996)","Same 4-tier structure as Rise but with increasing complexity. Grand Vizier/Divan → Beylerbey/Eyalet → Sanjak-bey → Kadi. Possible 5th level with nahiye sub-districts in some regions. ~32 eyalets by 16th century."
GOV-003,Bureaucratic Levels (Tanzimat),Decline (post-1864),1864-1922,5-6,Count of administrative levels,HIGH,"Vilayet Law of 1864; Inalcik & Quataert (1994)","Quataert, The Ottoman Empire 1700-1922 (2005)","Post-1864 Vilayet Law hierarchy: (1) Central government → (2) Vilayet/Vali → (3) Sanjak/Mutesarrif → (4) Kaza/Kaymakam → (5) Nahiye → (6) Village/Muhtar. Formal bureaucratization modeled on French prefectoral system."
ECO-001,GDP Estimate (Absolute),Rise,~1500,7200-9000,1990 Int$ millions,LOW,"Maddison Project Database; Pamuk, Estimating GDP per capita for the Ottoman Empire 1500-1820 (2009 Utrecht paper)","Bolt & van Zanden, Maddison Project updates","Calculated: ~12-15 million population x $600 per capita. Population estimate for 1500 uncertain (empire still expanding). Pre-1500 data extremely scarce. Pamuk notes Ottoman rarely collected data allowing output estimates."
ECO-001,GDP Estimate (Absolute),Peak,~1600,12780,1990 Int$ millions,MODERATE,"Maddison Project Database; Pamuk (2009)","Karaman & Pamuk (2010)","Calculated: 21.3 million population (Pamuk) x $600 per capita (Maddison). Population figure from interpolation between benchmark years accounting for border changes. GDP per capita essentially flat at $600 across 1500-1700 per Maddison."
ECO-001,GDP Estimate (Absolute),Decline,~1700,12240,1990 Int$ millions,MODERATE,"Maddison Project Database; Pamuk (2009)","Karaman & Pamuk (2010)","Calculated: 20.4 million population x ~$600 per capita. Population declined slightly from 1600 peak due to 17th century crises (Celali rebellions, Little Ice Age, warfare)."
ECO-001,GDP Estimate (Absolute),Decline,~1820,15910,1990 Int$ millions,MODERATE,"Maddison Project Database; Pamuk (2006) JEH 66(3) pp.809-828","Bolt & van Zanden","Calculated: 21.5 million (1800 population) x $740 per capita. 27% per capita growth 1500-1820 per Pamuk."
ECO-001,GDP Estimate (Absolute),Decline,1913,25300,1990 Int$ millions,MODERATE,"Pamuk (2006); Maddison Project Database","The Ottoman Economy 1870-1913: Preliminary Second-Generation Estimates (TUJISE)","Directly stated in literature: Ottoman GDP at 1990 PPP prices ~$25.3 billion in 1913. Population ~23 million. Per capita ~$979-1100."
ECO-002,GDP per Capita,Rise,~1500,600,1990 Int$ per person,MODERATE,"Maddison Project Database 2020; Pamuk (2009)","Bolt & van Zanden (various updates); van Zanden & Pamuk estimate $597","Maddison flat estimate of $600. Pamuk notes 0-1% growth ceiling. Urbanization and wage data suggest mild growth. Comparable to Southern European levels."
ECO-002,GDP per Capita,Peak,~1600,600-700,1990 Int$ per person,MODERATE,"Maddison ($600); Bolt & van Zanden ($700)","Pamuk (2009)","Range reflects scholarly disagreement. Maddison original = $600 flat. Bolt & van Zanden revision = $700. Average across scholars ~$600. 16th century was period of demographic and economic expansion."
ECO-002,GDP per Capita,Peak/Decline,~1700,600-740,1990 Int$ per person,MODERATE,"Maddison ($600); van Zanden & Pamuk ($648); Bolt & van Zanden ($740)","Pamuk (2009)","Scholarly range $600-740. 17th century characterized as crisis and partial recovery. 18th century until 1770s = relative peace and expansion. Differences with rest of Europe (excluding Britain/Netherlands) remained limited."
ECO-002,GDP per Capita,Decline,~1820,740,1990 Int$ per person,MODERATE,"Pamuk (2006) JEH 66(3) pp.809-828; Maddison Project Database","Bolt & van Zanden","$740 is Pamuk's benchmark. Britain ~$2100, Finland ~$781 for comparison. Ottoman per capita roughly half of Britain/Netherlands by late 18th c. but comparable to peripheral Europe."
ECO-002,GDP per Capita,Decline,1913,979-1100,1990 Int$ per person,MODERATE,"Pamuk (2006); Maddison Project Database","The Ottoman Economy 1870-1913 (TUJISE)","Range reflects different estimation methods. $979 from Maddison-style estimates; $1100 from PPP adjustments. Despite 19th c. growth, remained behind European average."
